INPUT_TABLE,,,,,
Variable ID,,,,,
StubTechElecMarket,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,electric.sector.market
NC,electricity,offshore wind,offshore wind usa,1990,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2005,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2010,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2015,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2020,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2025,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2030,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2035,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2040,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2045,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2050,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2055,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2060,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2065,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2070,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2075,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2080,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2085,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2090,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2095,Southeast grid
NC,electricity,offshore wind,offshore wind usa,2100,Southeast grid
NH,electricity,offshore wind,offshore wind usa,1975,New England grid
NH,electricity,offshore wind,offshore wind usa,1990,New England grid
NH,electricity,offshore wind,offshore wind usa,2005,New England grid
NH,electricity,offshore wind,offshore wind usa,2010,New England grid
NH,electricity,offshore wind,offshore wind usa,2015,New England grid
NH,electricity,offshore wind,offshore wind usa,2020,New England grid
NH,electricity,offshore wind,offshore wind usa,2025,New England grid
NH,electricity,offshore wind,offshore wind usa,2030,New England grid
NH,electricity,offshore wind,offshore wind usa,2035,New England grid
NH,electricity,offshore wind,offshore wind usa,2040,New England grid
NH,electricity,offshore wind,offshore wind usa,2045,New England grid
NH,electricity,offshore wind,offshore wind usa,2050,New England grid
NH,electricity,offshore wind,offshore wind usa,2055,New England grid
NH,electricity,offshore wind,offshore wind usa,2060,New England grid
NH,electricity,offshore wind,offshore wind usa,2065,New England grid
NH,electricity,offshore wind,offshore wind usa,2070,New England grid
NH,electricity,offshore wind,offshore wind usa,2075,New England grid
NH,electricity,offshore wind,offshore wind usa,2080,New England grid
NH,electricity,offshore wind,offshore wind usa,2085,New England grid
NH,electricity,offshore wind,offshore wind usa,2090,New England grid
NH,electricity,offshore wind,offshore wind usa,2095,New England grid
NH,electricity,offshore wind,offshore wind usa,2100,New England grid
NJ,electricity,offshore wind,offshore wind usa,1975,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,1990,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2005,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2010,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2015,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2020,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2025,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2030,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2035,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2040,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2045,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2050,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2055,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2060,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2065,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2070,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2075,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2080,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2085,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2090,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2095,Mid-Atlantic grid
NJ,electricity,offshore wind,offshore wind usa,2100,Mid-Atlantic grid
NY,electricity,offshore wind,offshore wind usa,1975,New York grid
NY,electricity,offshore wind,offshore wind usa,1990,New York grid
NY,electricity,offshore wind,offshore wind usa,2005,New York grid
NY,electricity,offshore wind,offshore wind usa,2010,New York grid
NY,electricity,offshore wind,offshore wind usa,2015,New York grid
NY,electricity,offshore wind,offshore wind usa,2020,New York grid
NY,electricity,offshore wind,offshore wind usa,2025,New York grid
NY,electricity,offshore wind,offshore wind usa,2030,New York grid
NY,electricity,offshore wind,offshore wind usa,2035,New York grid
NY,electricity,offshore wind,offshore wind usa,2040,New York grid
NY,electricity,offshore wind,offshore wind usa,2045,New York grid
NY,electricity,offshore wind,offshore wind usa,2050,New York grid
NY,electricity,offshore wind,offshore wind usa,2055,New York grid
NY,electricity,offshore wind,offshore wind usa,2060,New York grid
NY,electricity,offshore wind,offshore wind usa,2065,New York grid
NY,electricity,offshore wind,offshore wind usa,2070,New York grid
NY,electricity,offshore wind,offshore wind usa,2075,New York grid
NY,electricity,offshore wind,offshore wind usa,2080,New York grid
NY,electricity,offshore wind,offshore wind usa,2085,New York grid
NY,electricity,offshore wind,offshore wind usa,2090,New York grid
NY,electricity,offshore wind,offshore wind usa,2095,New York grid
NY,electricity,offshore wind,offshore wind usa,2100,New York grid
OH,electricity,offshore wind,offshore wind usa,1975,Central East grid
OH,electricity,offshore wind,offshore wind usa,1990,Central East grid
OH,electricity,offshore wind,offshore wind usa,2005,Central East grid
OH,electricity,offshore wind,offshore wind usa,2010,Central East grid
OH,electricity,offshore wind,offshore wind usa,2015,Central East grid
OH,electricity,offshore wind,offshore wind usa,2020,Central East grid
OH,electricity,offshore wind,offshore wind usa,2025,Central East grid
OH,electricity,offshore wind,offshore wind usa,2030,Central East grid
OH,electricity,offshore wind,offshore wind usa,2035,Central East grid
OH,electricity,offshore wind,offshore wind usa,2040,Central East grid
OH,electricity,offshore wind,offshore wind usa,2045,Central East grid
OH,electricity,offshore wind,offshore wind usa,2050,Central East grid
OH,electricity,offshore wind,offshore wind usa,2055,Central East grid
OH,electricity,offshore wind,offshore wind usa,2060,Central East grid
OH,electricity,offshore wind,offshore wind usa,2065,Central East grid
OH,electricity,offshore wind,offshore wind usa,2070,Central East grid
OH,electricity,offshore wind,offshore wind usa,2075,Central East grid
OH,electricity,offshore wind,offshore wind usa,2080,Central East grid
OH,electricity,offshore wind,offshore wind usa,2085,Central East grid
OH,electricity,offshore wind,offshore wind usa,2090,Central East grid
OH,electricity,offshore wind,offshore wind usa,2095,Central East grid
OH,electricity,offshore wind,offshore wind usa,2100,Central East grid
OR,electricity,offshore wind,offshore wind usa,1975,Northwest grid
OR,electricity,offshore wind,offshore wind usa,1990,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2005,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2010,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2015,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2020,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2025,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2030,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2035,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2040,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2045,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2050,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2055,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2060,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2065,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2070,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2075,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2080,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2085,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2090,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2095,Northwest grid
OR,electricity,offshore wind,offshore wind usa,2100,Northwest grid
PA,electricity,offshore wind,offshore wind usa,1975,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,1990,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2005,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2010,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2015,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2020,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2025,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2030,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2035,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2040,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2045,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2050,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2055,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2060,Mid-Atlantic grid
PA,electricity,offshore wind,offshore wind usa,2065,Mid-Atlantic grid
